Organization,Threat Actor,Date
SERVICESTREAM.COM.AU,clop,3/16/2023
JAYMART.CO.TH,clop,3/16/2023
Ecolog International,vicesociety,3/17/2023
Kittleâ€™s,blackbasta,3/17/2023
Rudman Winchell,blackbasta,3/17/2023
ACEA Energia,blackbasta,3/17/2023
Norman S. Wright Climatec,blackbasta,3/17/2023
MARSHALLAMPS,blackbasta,3/17/2023
VORNADO,blackbasta,3/17/2023
DGM Industrie,royal,3/17/2023
AAA Energy Service,royal,3/17/2023
r-pac.com,lockbit3,3/17/2023
draftPros,play,3/17/2023
TaxAssist Accountants,play,3/17/2023
Norman Shutters,play,3/17/2023
Pine Tree Commercial Realty,play,3/17/2023
Berga Recycling,play,3/17/2023
A&T group of companies,play,3/17/2023
Stanley Steemer,play,3/17/2023
UnitedLex,monti,3/17/2023
Sutton and Jacobs,royal,3/18/2023
Collins Electrical,alphv,3/18/2023
James Group,alphv,3/18/2023
"Law Firm Vazquez Nava Consultores y Abogados, S.C",medusa,3/18/2023
FABREGA MOLINO (fmm.com.pa),alphv,3/18/2023
spoormaker.co.za,lockbit3,3/19/2023
Tri Counties Bank,blackbasta,3/19/2023
Nor-Cal Beverage,blackbasta,3/19/2023
Hawaii self storage,moneymessage,3/19/2023
bbsautomation.com,lockbit3,3/19/2023
American Institute for Healthcare Quality,monti,3/19/2023
Donut Leaks,monti,3/19/2023
hitzler-ingenieure.de,lockbit3,3/19/2023
id-logistics.com,lockbit3,3/19/2023
stavinvest.cz,lockbit3,3/19/2023
Sunward Pharmaceutical (Sunward),alphv,3/19/2023
Kelly Group,blackbyte,3/20/2023
National Board of Osteopathic Medical Examiners,karakurt,3/20/2023
telepizza.com,lockbit3,3/20/2023
SAKSFIFTHAVENUE.COM,clop,3/20/2023
Indonesia Power,ransomhouse,3/20/2023
Graceworks Lutheran Services,royal,3/21/2023
Yaskawa Motoman,royal,3/21/2023
alyasrafoods.com,lockbit3,3/21/2023
oaklandca.gov,lockbit3,3/21/2023
Atlas Security,medusa,3/21/2023
co.ottawa.oh.us,lockbit3,3/21/2023
siebold.com,abyss,3/21/2023
stonehillcontracting.com,abyss,3/21/2023
jones-hamilton.com,abyss,3/21/2023
igadiltd.com,abyss,3/21/2023
hosemanufacturing.com,abyss,3/21/2023
cityofallenpark.org,lockbit3,3/21/2023
ksrsac.karnataka.gov.in,lockbit3,3/21/2023
roslevauto.dk,lockbit3,3/21/2023
gproulxinc.com,lockbit3,3/21/2023
Zeus Energy S.A.C,lockbit3,3/21/2023
jenparking.com,lockbit3,3/21/2023
transports-douaud.com,lockbit3,3/21/2023
bakermech.com,lockbit3,3/21/2023
the3rivers.net,lockbit3,3/21/2023
stolt-nielsen.com,lockbit3,3/21/2023
mangiainc.com,lockbit3,3/21/2023
Kress,alphv,3/21/2023
cabinet-paillet.fr,lockbit3,3/21/2023
Design CATAPULT,ransomhouse,3/22/2023
largest provider of orthopedic care,abyss,3/22/2023
US District Court,everest,3/22/2023
LESLIESPOOL.COM,clop,3/22/2023
CROSSVILLEINC.COM,clop,3/22/2023
PG.COM,clop,3/22/2023
LASOLTEL.FR,clop,3/22/2023
bluebirdnetwork,alphv,3/23/2023
PPF.CO.UK,clop,3/23/2023
PLURALSIGHT.COM,clop,3/23/2023
HRTRANSIT.ORG,clop,3/23/2023
ZOSKINHEALTH.COM,clop,3/23/2023
GDI.COM,clop,3/23/2023
AMERIJET.COM,clop,3/23/2023
CINEPLEX.COM,clop,3/23/2023
KANNACT.COM,clop,3/23/2023
HUMANGOOD.COM,clop,3/23/2023
TTBH.ORG,clop,3/23/2023
WVI.ORG,clop,3/23/2023
SEPIRE.COM,clop,3/23/2023
ACCUZIP.COM,clop,3/23/2023
VOLARIS.COM,clop,3/23/2023
GRUPOVANTI.COM,clop,3/23/2023
MUNICHRE.COM,clop,3/23/2023
THECROSBYGROUP.COM,clop,3/23/2023
HORMELFOODS.COM,clop,3/23/2023
ALIVIAHELTH.COM,clop,3/23/2023
FIRST-CENTRAL.COM,clop,3/23/2023
BUNZL.COM,clop,3/23/2023
VERRAMOBILITY.COM,clop,3/23/2023
PAYBOXAPP.COM,clop,3/23/2023
rockinsurancebrokers,blackbasta,3/23/2023
Dayton Superior,blackbasta,3/23/2023
SUPPLYCORE,blackbasta,3/23/2023
Advance America,blackbasta,3/23/2023
Troutman Pepper,blackbasta,3/23/2023
Mondial and Framec,blackbasta,3/23/2023
CHEMILAB.COM.CO,clop,3/23/2023
ORCAAUDIT.COM,clop,3/23/2023
GRAY.TV,clop,3/23/2023
OSHCO.COM,clop,3/23/2023
LEGACY-TECHNOLOGIES.DE,clop,3/23/2023
VIRGIN.COM,clop,3/23/2023
SOLPAC.CO.JP,clop,3/23/2023
DPWORLD.COM,clop,3/23/2023
CLOUDMED.COM,clop,3/23/2023
TORONTO.CA,clop,3/23/2023
VUMACAM.CO.ZA,clop,3/23/2023
SHOLASTIC.COM,clop,3/23/2023
NATIONSBENEFITS.COM,clop,3/23/2023
SODALESSOLUTIONS.COM,clop,3/23/2023
PHOENIX.TECH,clop,3/23/2023
Biman airlines,moneymessage,3/23/2023
tecnosysitalia.eu,lockbit3,3/23/2023
Weickert Industries,monti,3/23/2023
Comune Taggia,ransomhouse,3/23/2023
Autoridad de Acueductos Y Alcantarillados,vicesociety,3/23/2023
Teklas,alphv,3/24/2023
Gujarat Mineral,medusa,3/24/2023
Sun Pharmaceutical Industries Ltd.,alphv,3/24/2023
bianchiindustry.com,lockbit3,3/24/2023
TLG.COM,clop,3/24/2023
BRIDGEWAY.COM.PH,clop,3/24/2023
CROWNRESORT.COM.AU,clop,3/24/2023
UNIMELB.EDU.AU,clop,3/24/2023
PROGRESSION.COM,clop,3/24/2023
REDBOXVOICE.COM,clop,3/24/2023
DERK.CL,clop,3/24/2023
TGW.COM,clop,3/24/2023
ATOS.NET,clop,3/24/2023
GLOBALFARM.COM.AR,clop,3/24/2023
INTERTERMINALS.COM,clop,3/24/2023
GOA.GOV.IN,clop,3/24/2023
ALTO.US,clop,3/24/2023
GRUPOFLORAPLANT.COM,clop,3/24/2023
DETECH.COM.TR,clop,3/24/2023
SPI.CO.ZA,clop,3/24/2023
THECYPRINUS.COM,clop,3/24/2023
VLS,blackbasta,3/24/2023
securens.in,lockbit3,3/24/2023
IMAGINE360.COM,clop,3/24/2023
lclattorneys.com,alphv,3/24/2023
"""CCAA""",mallox,3/24/2023
wbactc,alphv,3/24/2023
Sun Global Media Usa Ltd,alphv,3/24/2023
INVESTORCOM.COM,clop,3/24/2023
COLMAC.COM,clop,3/24/2023
CRESCENTHOTELS.COM,clop,3/24/2023
INTELLICARE.COM.PH,clop,3/24/2023
ENERJISAURETIM.COM,clop,3/24/2023
TAS.GOV.AU,clop,3/24/2023
CAJASANRAFAEL.COM.MX,clop,3/24/2023
EMERALDX.COM,clop,3/24/2023
BISSELL.COM,clop,3/24/2023
Cospec Srl,ransomhouse,3/24/2023
precisionit.co.in,lockbit3,3/25/2023
demechindia.com,lockbit3,3/25/2023
slipstreaminc.org,lockbit3,3/25/2023
giga.com.vc,lockbit3,3/25/2023
DGCX,stormous,3/25/2023
la providence,stormous,3/25/2023
CESCE,stormous,3/25/2023
CONFIDO,stormous,3/25/2023
NOVELIS,stormous,3/25/2023
berjayaClubs,stormous,3/25/2023
ALKF+,stormous,3/25/2023
DAVINCI,stormous,3/25/2023
FICHTNER,stormous,3/25/2023
jubileeinsurance.com,lockbit3,3/25/2023
Rob Levine & Associates Lawyers,alphv,3/26/2023
SOCOMEC,stormous,3/26/2023
KONICA,stormous,3/26/2023
turvatehnika,stormous,3/26/2023
ita-moulding-process.com,lockbit3,3/26/2023
Pizza 73,play,3/26/2023
Kk Mehta Cpa Associates,play,3/26/2023
Picou Builders Supply,play,3/26/2023
Guyana Goldfields,play,3/26/2023
TAC,play,3/26/2023
Lysander Associates,play,3/26/2023
"James, McElroy and Diehl",play,3/26/2023
Optica,play,3/26/2023
Lightcast,play,3/26/2023
Wymondham College,royal,3/27/2023
Helmholtz Zentrum Munchen,royal,3/27/2023
Savanna Technical College,royal,3/27/2023
The Ultra-met,royal,3/27/2023
MERS Missouri Goodwill Industries,royal,3/27/2023
Ville de Lille,royal,3/27/2023
mcna.net,lockbit3,3/27/2023
ulmacarretillas.com,lockbit3,3/27/2023
bienvilleortho.com,abyss,3/27/2023
islandinsurance.ca,lockbit3,3/27/2023
lqtbg.com.cn,lockbit3,3/27/2023
FURUNO,stormous,3/27/2023
OKSGROUP,stormous,3/27/2023
ARROWAL,stormous,3/27/2023
IRCO,stormous,3/27/2023
LINX,stormous,3/27/2023
errebielle.it,lockbit3,3/27/2023
Tanbridge House School,ransomhouse,3/27/2023
All4Labels,alphv,3/27/2023
piramal.com,lockbit3,3/27/2023
"City of Modesto, CA",snatch,3/28/2023
swiftatlanta.com,lockbit3,3/28/2023
grupcovesa.com,lockbit3,3/28/2023
C****** ********,bianlian,3/28/2023
Victoria Park,bianlian,3/28/2023
Rimex,bianlian,3/28/2023
MICROFINANCE INSTITUTION,karakurt,3/28/2023
AV Industries,ransomhouse,3/28/2023
Jablite,play,3/28/2023
Oscar Software,play,3/28/2023
BMW France,play,3/28/2023
PCCARX_2,blackbasta,3/29/2023
DUKANE,blackbasta,3/29/2023
1.com,lockbit3,3/29/2023
nts.go.kr,lockbit3,3/29/2023
T***** ******** **********,bianlian,3/29/2023
F***** ******* **************,bianlian,3/29/2023
A*******,bianlian,3/29/2023
X***** *****,bianlian,3/29/2023
G****** **** & *************,bianlian,3/29/2023
F********** *********-************,bianlian,3/29/2023
FINANCE INSTITUTION AUCTION,karakurt,3/29/2023
psenergy.com,lockbit3,3/29/2023
hammondlumber.com,lockbit3,3/29/2023
Public Appeal to the CANTALK management,ragnarlocker,3/29/2023
Hit Promotional Products (US),daixin,3/29/2023
Corizon Healthcare,royal,3/30/2023
Sunstar Americas,royal,3/30/2023
5Design,royal,3/30/2023
Toho Tenax America,royal,3/30/2023
Steve Silver furniture,royal,3/30/2023
Vending Group,royal,3/30/2023
Benning Construction,royal,3/30/2023
Hospital Clinic de Barcelona,ransomhouse,3/30/2023
WESSEX,alphv,3/30/2023
tharworx.com,lockbit3,3/30/2023
7x7oralsurgery.com,abyss,3/30/2023
theus-industries.fr,lockbit3,3/30/2023
MULTIPLAN.COM,clop,3/30/2023
groupe-seche.com,lockbit3,3/30/2023
MELCO,stormous,3/30/2023
ieseco,stormous,3/30/2023
matrixtelecoms,stormous,3/30/2023
GOV.PL,stormous,3/30/2023
Armstrong Watson,royal,3/31/2023
hacla.org [part 2],lockbit3,3/31/2023
Lewis & Clark College,vicesociety,3/31/2023
123.com,lockbit3,3/31/2023
etkinllc.com,lockbit3,3/31/2023
OptionMetrics,karakurt,3/31/2023
ativy.com,lockbit3,3/31/2023
